time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-10-13T23:05:39.000Z,64.9873,-147.3478,1.2,1.7,ml,13,140.399988768001,0.1347473,0.3,ak,ak11417698,2014-10-14T01:25:11.287Z,"22km NNE of Badger, Alaska",earthquake
2014-10-13T22:57:21.000Z,60.2902,-151.9357,85.7,2,ml,32,86.3999930880005,0.4770054,0.34,ak,ak11417694,2014-10-14T01:25:10.719Z,"35km WSW of Cohoe, Alaska",earthquake
2014-10-13T22:44:41.640Z,37.625,-118.8728333,9.89,0.66,md,8,123,0.009875,0.02,nc,nc72326626,2014-10-14T00:55:02.588Z,"9km ESE of Mammoth Lakes, California",earthquake
2014-10-13T22:43:59.390Z,37.6599998,-118.7961655,0.22,0.87,md,4,203,0.03844,0.05,nc,nc72326621,2014-10-14T00:29:04.391Z,"15km E of Mammoth Lakes, California",earthquake
2014-10-13T22:37:57.400Z,43.6323,-123.3637,0,1.1,Md,,176.4,0.04491576,0.11,uw,uw60892082,2014-10-14T01:05:25.769Z,"4km SW of Drain, Oregon",quarry
2014-10-13T22:32:52.000Z,62.0801,-145.4185,17,1.7,ml,9,183.599985312001,0.02694946,0.49,ak,ak11417690,2014-10-14T01:25:12.707Z,"7km ESE of Glennallen, Alaska",earthquake
2014-10-13T22:28:11.600Z,19.5775,-155.98,6.8,2.7,Ml,,244.8,0.08084838,0.35,hv,hv60789136,2014-10-14T01:36:19.228Z,"2km WNW of Kahaluu-Keauhou, Hawaii",earthquake
2014-10-13T22:20:35.500Z,18.7329,-67.372,6,2.8,Md,5,320.4,0.36112274,0.2,pr,pr14286001,2014-10-14T06:23:06.334Z,"39km NW of San Antonio, Puerto Rico",earthquake
2014-10-13T22:19:00.120Z,35.6725,-117.5376667,0.01,1.48,ml,19,83,0.1056,0.35,ci,ci37278800,2014-10-13T22:47:48.130Z,"13km ENE of Ridgecrest, California",quarry_blast
2014-10-13T22:18:04.530Z,37.5138321,-118.8306656,2.23,0.97,md,9,184,0.07607,0.03,nc,nc72326611,2014-10-14T00:46:06.335Z,"19km SE of Mammoth Lakes, California",earthquake
2014-10-13T22:16:40.000Z,60.2818,-151.8909,84.7,3.1,ml,64,50.3999959680003,0.4994633,0.56,ak,ak11417681,2014-10-14T06:19:14.773Z,"33km WSW of Cohoe, Alaska",earthquake
2014-10-13T22:05:39.130Z,-6.7053,129.7153,153.69,5.3,mb,,61,2.019,0.9,us,usb000sltd,2014-10-13T22:43:46.498Z,"224km NW of Saumlaki, Indonesia",earthquake
2014-10-13T21:43:15.910Z,40.824,80.2025,16.94,4.1,mb,,76,3.601,0.87,us,usb000slt3,2014-10-14T05:45:52.447Z,"33km S of Aksu, China",earthquake
2014-10-13T21:34:59.830Z,36.0156667,-117.7981667,0.01,0.91,ml,14,101,0.02833,0.3,ci,ci37278792,2014-10-13T22:48:21.810Z,"40km N of Inyokern, California",quarry_blast
2014-10-13T21:34:29.950Z,38.8025017,-122.8153305,3.3,0.46,md,14,70,0.01255,0.02,nc,nc72326591,2014-10-14T00:17:07.996Z,"5km WNW of The Geysers, California",earthquake
2014-10-13T21:32:36.220Z,37.4817,-118.793,6.81,0.32,ml,5,246.19,0.068,,nn,nn00463861,2014-10-13T21:33:50.816Z,"24km SE of Mammoth Lakes, California",earthquake
2014-10-13T21:30:04.700Z,19.4088,-155.2782,2.3,1.9,Md,,50.4,0,0.16,hv,hv60789061,2014-10-13T21:33:15.329Z,"4km WSW of Volcano, Hawaii",earthquake
2014-10-13T21:24:58.180Z,40.9719,141.6942,61.91,4.7,mb,,137,0.792,0.86,us,usb000slsn,2014-10-14T05:27:34.831Z,"42km NE of Misawa, Japan",earthquake
2014-10-13T21:22:35.370Z,33.9575,-116.7181667,16.62,1.12,ml,36,57,0.09967,0.22,ci,ci37278784,2014-10-13T22:49:14.190Z,"7km NE of Cabazon, California",earthquake
